"","year","freq.year"
"1",1980,14253
"2",1981,13842
"3",1982,13262
"4",1983,12739
"5",1984,11807
"6",1985,12076
"7",1986,12758
"8",1987,11864
"9",1988,11520
"10",1989,12335
"11",1990,12837
"12",1991,12860
"13",1992,12715
"14",1993,13227
"15",1994,12411
"16",1995,11346
"17",1996,10016
"18",1997,9340
"19",1998,8603
"20",1999,7767
"21",2000,7498
"22",2001,7977
"23",2002,8274
"24",2003,8159
"25",2004,8033
"26",2005,8257
"27",2006,8374
"28",2007,8139
"29",2008,7274
"30",2009,7867
"31",2010,7523
"32",2011,7298
"33",2012,7270
"34",2013,6871
"35",2014,6769
